amfi_code,scheme_name,benchmark,benchmark_series_used,Alpha_annualized,Beta,R_squared,p_value,n_obs,Alpha_Rank
119598,SBI Small Cap Fund - Regular Plan - Growth,BSE 250 SmallCap TRI,BSE_SMALLCAP,0.3151,-0.0476,0.0018,0.156,1149,1
149324,DSP Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,BSE_SMALLCAP,0.2935,0.0285,0.0006,0.3888,1149,2
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,0.2931,-0.0016,0.0,0.9606,1149,3
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY 500 TRI,NIFTY500,0.2779,-0.0249,0.0005,0.461,1149,4
148569,Mirae Asset Tax Saver Fund - Regular - Growth,NIFTY 500 TRI,NIFTY500,0.2751,0.0382,0.0009,0.3102,1149,5
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY 100 TRI,NIFTY100,0.2698,0.0237,0.0005,0.4664,1149,6
119094,Axis Midcap Fund - Regular - Growth,NIFTY Midcap 50 TRI,NIFTY_MIDCAP150,0.2693,-0.0374,0.0012,0.2442,1149,7
149323,DSP Midcap Fund - Regular - Growth,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,0.2691,-0.0114,0.0001,0.6989,1149,8
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,0.2633,0.031,0.0009,0.3226,1149,9
119551,SBI Bluechip Fund - Regular Plan - Growth,NIFTY 100 TRI,NIFTY100,0.232,-0.0318,0.0009,0.3131,1149,10
118632,Nippon India Large Cap Fund - Regular - Growth,NIFTY 100 TRI,NIFTY100,0.2183,-0.0084,0.0001,0.7966,1149,11
101206,ABSL Frontline Equity Fund - Regular - Growth,NIFTY 100 TRI,NIFTY100,0.214,0.0211,0.0003,0.5276,1149,12
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY 100 TRI,NIFTY100,0.2119,0.0162,0.0002,0.6219,1149,13
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,NIFTY Large Midcap 250 TRI,NIFTY500,0.2052,0.0126,0.0001,0.7016,1149,14
