amfi_code,scheme_name,category,CAGR_1Y,CAGR_3Y,CAGR_5Y
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,-0.0223,0.0129,
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.0371,0.0392,
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.5328,0.3243,
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.4796,0.2896,
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.24,-0.0415,
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.0724,0.0631,
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.2022,0.1966,
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.1681,-0.0077,
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.1359,0.2555,
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.3401,0.2265,
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.2556,0.2108,
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.1582,0.0801,
118635,Nippon India ETF Nifty 50 BeES,Equity,0.2251,0.2,
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.1046,0.0406,
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.0161,0.0053,
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.1978,0.2081,
119094,Axis Midcap Fund - Regular - Growth,Equity,0.2228,0.351,
119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.4282,-0.117,
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.0553,0.0584,
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.6049,0.3045,
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.0571,0.1626,
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.8285,0.2666,
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.1396,-0.0134,
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.085,0.1397,
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.1307,0.3248,
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.2963,0.3177,
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.4185,0.1842,
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.0743,0.0739,
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.1685,0.1726,
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.2252,0.0775,
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2668,0.2958,
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.0713,0.0669,
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.287,0.1843,
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.1546,0.1124,
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.2038,0.3399,
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.1428,0.1474,
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.3978,0.2917,
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.1812,0.1804,
149323,DSP Midcap Fund - Regular - Growth,Equity,0.215,0.2686,
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.652,0.2699,
