amfi_code,scheme_name,category,CAGR_3Y,Sharpe_Ratio,Alpha_annualized,expense_ratio_pct,Max_Drawdown,Score_3Y_Return,Score_Sharpe,Score_Alpha,Score_ExpenseInv,Score_MaxDDInv,Fund_Scorecard,Overall_Rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.3399,1.4483,0.2698,1.46,-0.1127,97.5,100.0,87.5,45.0,82.5,86.75,1
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2958,1.3067,0.2779,1.45,-0.1297,85.0,97.5,92.5,47.5,70.0,82.5,2
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.3177,1.1801,0.2931,1.36,-0.1819,90.0,90.0,95.0,65.0,40.0,82.25,3
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.3248,1.0265,0.2119,0.8,-0.1259,95.0,77.5,70.0,72.5,72.5,80.0,4
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.3243,1.0937,0.2633,1.38,-0.1622,92.5,85.0,80.0,60.0,52.5,79.25,5
119094,Axis Midcap Fund - Regular - Growth,Equity,0.351,0.9982,0.2693,1.38,-0.2096,100.0,75.0,85.0,60.0,32.5,78.0,6
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.3045,1.2083,0.232,1.54,-0.1501,87.5,92.5,77.5,26.25,60.0,74.8125,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2917,1.2349,0.2751,1.6,-0.164,82.5,95.0,90.0,11.25,50.0,73.1875,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.2896,1.0272,0.214,1.6,-0.1129,80.0,80.0,72.5,11.25,80.0,68.1875,9
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.2666,0.9453,0.3151,1.43,-0.2871,72.5,67.5,100.0,50.0,12.5,67.375,10
149323,DSP Midcap Fund - Regular - Growth,Equity,0.2686,1.1321,0.2691,1.61,-0.1725,75.0,87.5,82.5,7.5,47.5,66.75,11
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.2699,0.9498,0.2935,1.52,-0.3117,77.5,70.0,97.5,36.25,10.0,66.6875,12
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.2265,1.0817,0.2183,1.51,-0.1741,67.5,82.5,75.0,41.25,45.0,66.5625,13
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.1626,0.9533,0.1987,0.66,-0.118,45.0,72.5,65.0,92.5,75.0,66.0,14
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.2108,0.6452,0.1564,0.72,-0.1863,65.0,50.0,50.0,88.75,37.5,59.0625,15
118635,Nippon India ETF Nifty 50 BeES,Equity,0.2,0.6649,0.1516,0.89,-0.1165,60.0,55.0,45.0,70.0,77.5,59.0,16
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.1843,0.7758,0.1773,0.92,-0.152,55.0,57.5,60.0,67.5,57.5,58.75,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.1966,0.8171,0.1699,1.57,-0.1086,57.5,62.5,55.0,17.5,85.0,55.0,18
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.1474,0.9263,0.2052,1.52,-0.1527,42.5,65.0,67.5,36.25,55.0,53.4375,19
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.1397,0.798,0.177,1.42,-0.139,40.0,60.0,57.5,52.5,67.5,53.125,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.1842,0.6489,0.1521,1.41,-0.1983,52.5,52.5,47.5,55.0,35.0,50.125,21
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.0739,0.4957,0.0637,0.74,-0.001,30.0,45.0,25.0,85.0,100.0,48.0,22
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.2081,0.1296,0.0823,0.75,-0.2175,62.5,30.0,30.0,82.5,25.0,47.125,23
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.2555,0.6195,0.1658,1.64,-0.2154,70.0,47.5,52.5,3.75,27.5,46.6875,24
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.1804,0.464,0.1317,1.54,-0.1484,50.0,40.0,42.5,26.25,62.5,43.6875,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.1124,0.3006,0.1034,0.78,-0.2112,37.5,35.0,35.0,77.5,30.0,41.625,26
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.0669,-0.0887,0.063,0.6,-0.0012,27.5,17.5,22.5,95.0,97.5,41.125,27
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.1726,0.4943,0.1304,1.59,-0.1757,47.5,42.5,40.0,15.0,42.5,39.375,28
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.0801,0.4484,0.1782,1.53,-0.2334,35.0,37.5,62.5,31.25,22.5,39.3125,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.0406,-0.3566,0.0518,0.55,-0.0832,20.0,7.5,12.5,100.0,87.5,34.125,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.0584,-0.2266,0.0561,0.77,-0.0433,22.5,10.0,15.0,80.0,90.0,33.25,31
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.0631,-0.8156,0.0628,0.79,-0.0016,25.0,2.5,20.0,75.0,95.0,32.875,32
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.0392,-0.5671,0.05,0.56,-0.0431,17.5,5.0,10.0,97.5,92.5,32.375,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.0775,0.076,0.0885,1.56,-0.24,32.5,27.5,32.5,20.0,20.0,28.125,34
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-0.0134,-0.0572,0.0478,0.72,-0.5257,7.5,22.5,7.5,88.75,2.5,22.9375,35
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.0415,0.1627,0.1197,1.53,-0.3545,5.0,32.5,37.5,31.25,7.5,22.5625,36
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.0053,0.0308,0.069,1.64,-0.144,12.5,25.0,27.5,3.75,65.0,22.5625,36
119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.117,-0.076,0.0579,1.38,-0.5168,2.5,20.0,17.5,60.0,5.0,18.75,38
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.0077,-0.2058,0.0415,1.51,-0.28,10.0,12.5,5.0,41.25,15.0,14.8125,39
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.0129,-0.2015,0.0375,1.55,-0.2473,15.0,15.0,2.5,22.5,17.5,13.875,40
