investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,date_anomaly_flag
INV000616,2024-01-08,100016,SIP,933,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified,False
INV000836,2024-02-20,100016,SIP,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,Verified,False
INV002135,2024-03-14,100016,Lumpsum,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,Verified,False
INV002357,2024-05-23,100016,SIP,26713,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,Verified,False
INV004125,2024-06-21,100016,SIP,2999,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,Verified,False
INV002610,2024-09-17,100016,SIP,4252,Tamil Nadu,Coimbatore,B30,36-45,Female,31.7,Net Banking,Verified,False
INV001602,2025-02-24,100016,SIP,17107,West Bengal,Kolkata,T30,36-45,Male,27.0,Mandate,Verified,False
INV004427,2025-03-04,100016,SIP,12756,Punjab,Amritsar,B30,36-45,Female,54.2,UPI,Verified,False
INV004450,2025-03-23,100016,SIP,55566,Tamil Nadu,Coimbatore,B30,36-45,Male,16.7,Net Banking,Verified,False
INV001333,2025-03-27,100016,SIP,803,Haryana,Faridabad,B30,26-35,Female,19.0,Net Banking,Verified,False
INV002490,2025-06-01,100016,SIP,6591,Gujarat,Surat,T30,36-45,Female,28.1,Cheque,Verified,False
INV000432,2025-06-27,100016,Lumpsum,208366,Maharashtra,Pune,T30,18-25,Female,6.7,UPI,Verified,False
INV003267,2025-08-10,100016,SIP,8062,Rajasthan,Udaipur,B30,36-45,Male,29.9,Net Banking,Verified,False
INV002782,2025-09-29,100016,Lumpsum,346937,Punjab,Chandigarh,T30,18-25,Male,3.7,Cheque,Verified,False
INV002831,2025-10-11,100016,Lumpsum,344971,Telangana,Hyderabad,T30,56+,Female,78.0,Net Banking,Verified,False
INV003057,2026-01-20,100016,Redemption,280673,Punjab,Chandigarh,T30,18-25,Male,6.4,Cheque,Verified,False
INV000599,2026-03-26,100016,SIP,49737,Gujarat,Ahmedabad,T30,36-45,Male,24.0,Mandate,Verified,False
INV003312,2026-04-02,100016,Lumpsum,247986,Maharashtra,Mumbai,T30,26-35,Male,7.9,UPI,Verified,False
INV001300,2026-06-01,100016,Lumpsum,453082,Uttar Pradesh,Agra,B30,36-45,Female,53.8,Cheque,Verified,False
INV004924,2026-06-03,100016,SIP,5272,Telangana,Hyderabad,T30,36-45,Male,16.1,UPI,Verified,False
INV004912,2026-07-13,100016,Redemption,227454,West Bengal,Kolkata,T30,18-25,Male,6.4,Mandate,Verified,False
INV004983,2026-08-25,100016,SIP,25883,Madhya Pradesh,Bhopal,B30,26-35,Male,20.6,UPI,Verified,True
INV001494,2026-10-11,100016,SIP,2714,Madhya Pradesh,Indore,T30,18-25,Male,5.7,Cheque,Verified,True
INV004110,2026-12-15,100016,Lumpsum,127792,West Bengal,Kolkata,T30,18-25,Male,5.5,Mandate,Verified,True
INV001237,2026-12-19,100016,SIP,2463,West Bengal,Kolkata,T30,26-35,Male,19.1,UPI,Verified,True
INV004999,2027-02-10,100016,Lumpsum,190109,Telangana,Hyderabad,T30,26-35,Male,24.8,Mandate,Verified,True
INV000567,2027-05-07,100016,Redemption,151782,Delhi,New Delhi,T30,26-35,Male,9.1,Net Banking,Verified,True
INV003614,2027-07-12,100016,Lumpsum,415889,Maharashtra,Mumbai,T30,26-35,Male,13.3,Cheque,Verified,True
INV000019,2027-07-20,100016,SIP,4135,Gujarat,Ahmedabad,T30,18-25,Female,5.1,Cheque,Verified,True
INV000280,2027-08-28,100016,SIP,2946,Punjab,Amritsar,B30,26-35,Female,22.9,UPI,Verified,True
INV001560,2027-08-29,100016,SIP,4414,Punjab,Amritsar,B30,26-35,Male,22.5,Mandate,Verified,True
INV001972,2027-09-11,100016,SIP,4566,Uttar Pradesh,Kanpur,B30,18-25,Male,4.6,Cheque,Verified,True
