amfi_code,scheme_name,Max_Drawdown,Peak_Date,Trough_Date,Drawdown_Days,MaxDD_Rank
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.001,2025-10-16,2025-10-20,4,1
120844,Kotak Liquid Fund - Regular - Growth,-0.0012,2024-04-12,2024-04-30,18,2
101208,ABSL Liquid Fund - Regular - Growth,-0.0016,2023-09-05,2023-09-12,7,3
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.0431,2023-05-23,2023-07-28,66,4
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.0433,2024-09-16,2025-04-01,197,5
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.0832,2023-02-09,2024-02-09,365,6
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.1086,2022-02-03,2022-03-29,54,7
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.1127,2023-07-11,2023-10-20,101,8
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.1129,2023-04-24,2023-07-05,72,9
118635,Nippon India ETF Nifty 50 BeES,-0.1165,2022-01-03,2022-06-09,157,10
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.118,2024-05-21,2024-09-02,104,11
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.1259,2022-10-04,2023-05-30,238,12
120843,Kotak Flexicap Fund - Regular - Growth,-0.1297,2022-03-07,2022-04-13,37,13
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.139,2023-09-19,2023-11-09,51,14
119092,Axis Bluechip Fund - Regular - Growth,-0.144,2023-10-12,2025-02-07,484,15
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.1484,2022-01-03,2022-02-04,32,16
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.1501,2023-08-24,2024-02-05,165,17
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.152,2023-12-22,2025-01-01,376,18
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1527,2023-09-05,2024-01-24,141,19
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.1622,2022-03-11,2022-05-12,62,20
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.164,2023-08-10,2023-10-20,71,21
149323,DSP Midcap Fund - Regular - Growth,-0.1725,2022-06-06,2022-10-24,140,22
118632,Nippon India Large Cap Fund - Regular - Growth,-0.1741,2024-01-02,2024-07-19,199,23
120841,Kotak Bluechip Fund - Regular - Growth,-0.1757,2024-01-09,2025-02-14,402,24
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.1819,2024-10-24,2025-01-23,91,25
118633,Nippon India Large Cap Fund - Direct - Growth,-0.1863,2023-10-30,2024-02-29,122,26
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.1983,2023-03-31,2023-08-14,136,27
119094,Axis Midcap Fund - Regular - Growth,-0.2096,2022-04-14,2022-08-11,119,28
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.2112,2025-04-04,2025-09-12,161,29
102887,UTI Flexi Cap Fund - Regular - Growth,-0.2154,2022-01-03,2022-07-04,182,30
119093,Axis Bluechip Fund - Direct - Growth,-0.2175,2022-02-24,2023-05-22,452,31
118634,Nippon India Small Cap Fund - Regular - Growth,-0.2334,2025-04-09,2026-02-20,317,32
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.24,2023-11-09,2024-10-17,343,33
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.2473,2022-03-30,2022-09-15,169,34
102886,UTI Mid Cap Fund - Regular - Growth,-0.28,2025-01-07,2026-04-27,475,35
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.2871,2024-08-28,2025-05-14,259,36
149324,DSP Small Cap Fund - Regular - Growth,-0.3117,2024-05-03,2025-01-03,245,37
101207,ABSL Small Cap Fund - Regular - Growth,-0.3545,2024-11-21,2026-05-11,536,38
119095,Axis Small Cap Fund - Regular - Growth,-0.5168,2025-05-22,2026-05-11,354,39
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.5257,2023-01-17,2025-10-28,1015,40
