amfi_code,Sharpe_Ratio,Sortino_Ratio,scheme_name,category,Sharpe_Rank
148567,1.4483,2.3856,Mirae Asset Large Cap Fund - Regular - Growth,Equity,1
120843,1.3067,2.3643,Kotak Flexicap Fund - Regular - Growth,Equity,2
148569,1.2349,2.1469,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,3
119551,1.2083,2.1403,SBI Bluechip Fund - Regular Plan - Growth,Equity,4
120505,1.1801,2.0294,ICICI Pru Midcap Fund - Regular - Growth,Equity,5
149323,1.1321,1.8751,DSP Midcap Fund - Regular - Growth,Equity,6
100033,1.0937,1.8291,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,7
118632,1.0817,1.8501,Nippon India Large Cap Fund - Regular - Growth,Equity,8
101206,1.0272,1.7996,ABSL Frontline Equity Fund - Regular - Growth,Equity,9
120504,1.0265,1.8053,ICICI Pru Bluechip Fund - Direct - Growth,Equity,10
119094,0.9982,1.7038,Axis Midcap Fund - Regular - Growth,Equity,11
119552,0.9533,1.6098,SBI Bluechip Fund - Direct Plan - Growth,Equity,12
149324,0.9498,1.6198,DSP Small Cap Fund - Regular - Growth,Equity,13
119598,0.9453,1.6753,SBI Small Cap Fund - Regular Plan - Growth,Equity,14
148568,0.9263,1.6327,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,15
102885,0.8171,1.4357,UTI Nifty 50 Index Fund - Regular - Growth,Equity,16
120503,0.798,1.3379,ICICI Pru Bluechip Fund - Regular - Growth,Equity,17
125497,0.7758,1.3307,HDFC Top 100 Fund - Direct Plan - Growth,Equity,18
118635,0.6649,1.138,Nippon India ETF Nifty 50 BeES,Equity,19
120506,0.6489,1.0959,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,20
118633,0.6452,1.1545,Nippon India Large Cap Fund - Direct - Growth,Equity,21
102887,0.6195,1.0888,UTI Flexi Cap Fund - Regular - Growth,Equity,22
120507,0.4957,1.0521,ICICI Pru Liquid Fund - Regular - Growth,Debt,23
120841,0.4943,0.8626,Kotak Bluechip Fund - Regular - Growth,Equity,24
149322,0.464,0.7621,DSP Top 100 Equity Fund - Regular - Growth,Equity,25
118634,0.4484,0.746,Nippon India Small Cap Fund - Regular - Growth,Equity,26
125498,0.3006,0.5088,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,27
101207,0.1627,0.2766,ABSL Small Cap Fund - Regular - Growth,Equity,28
119093,0.1296,0.2211,Axis Bluechip Fund - Direct - Growth,Equity,29
120842,0.076,0.1247,Kotak Emerging Equity Fund - Regular - Growth,Equity,30
119092,0.0308,0.0526,Axis Bluechip Fund - Regular - Growth,Equity,31
119599,-0.0572,-0.0944,SBI Small Cap Fund - Direct Plan - Growth,Equity,32
119095,-0.076,-0.1282,Axis Small Cap Fund - Regular - Growth,Equity,33
120844,-0.0887,-0.1877,Kotak Liquid Fund - Regular - Growth,Debt,34
100016,-0.2015,-0.351,HDFC Top 100 Fund - Regular Plan - Growth,Equity,35
102886,-0.2058,-0.3472,UTI Mid Cap Fund - Regular - Growth,Equity,36
119120,-0.2266,-0.3768,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,37
118636,-0.3566,-0.6135,Nippon India Gilt Securities Fund - Regular - Growth,Debt,38
100025,-0.5671,-0.9418,HDFC Short Term Debt Fund - Regular - Growth,Debt,39
101208,-0.8156,-1.681,ABSL Liquid Fund - Regular - Growth,Debt,40
